informal,escolaridad,edad,sexo,area,fexp
0,12,56,1,0,148.86805567613018
0,7,46,1,1,59.23436662819634
0,1,32,1,1,421.9782554761199
1,0,60,0,0,214.51806545178505
0,4,25,1,0,209.16350896133028
0,8,38,1,1,186.11556312556695
0,16,56,0,1,488.9179747158894
0,8,36,0,1,126.55193778917666
0,10,40,1,1,454.2071287789558
0,14,28,0,1,399.5614994629496
1,5,28,1,0,84.41597997469088
0,2,41,0,1,494.0280956753819
0,16,53,0,1,172.11468359255474
0,4,57,1,0,94.36231716008555
0,11,41,0,1,423.19140535659176
0,17,20,1,0,368.0039901549649
0,13,39,0,1,327.7484626450554
0,10,19,0,1,120.19138866451992
0,8,41,1,1,265.32325231518286
0,1,61,1,1,401.2502120992462
0,11,47,1,1,186.6307721647281
0,2,55,1,0,190.26042283176866
0,2,19,1,0,51.413407721654956
0,0,38,0,1,128.4095307404208
0,7,50,0,1,443.93253130482543
1,7,29,1,0,248.7859212369682
0,10,39,1,1,492.9055246554953
0,8,61,1,0,228.06858360820667
1,4,42,0,1,371.8339046511086
0,13,44,0,0,176.8635693071281
0,2,59,1,1,213.71433851342007
1,4,45,1,1,135.82669441590258
1,4,33,1,0,206.17806582472775
1,18,32,1,1,296.2568841892894
0,13,64,1,1,496.29779644066224
1,3,61,0,0,348.89077088230357
1,12,20,0,0,139.66067948374132
0,9,54,0,0,70.23264871619801
0,17,24,0,0,106.86041659152977
0,7,38,1,1,303.1498405728713
1,7,26,0,1,394.3221479675448
0,6,56,1,1,473.1886432853361
0,7,35,0,0,57.12042739856937
0,13,21,0,0,285.2420637028414
0,18,42,0,0,261.8903103004295
0,5,31,0,1,345.2247598890668
1,0,26,1,1,301.81048450940386
0,14,43,0,0,359.16761776211627
1,0,19,1,1,346.13716313713564
0,16,37,0,1,102.6552761860758
1,0,45,0,1,409.8730611284238
0,14,64,0,1,105.45465907234617
1,1,24,1,1,364.3387813441117
1,13,61,1,1,237.26541543827304
1,7,25,0,1,281.23283055946905
0,7,64,0,1,456.48410646906973
0,18,52,1,0,450.44767691306896
0,6,31,0,1,418.0353375447633
0,18,34,0,0,279.56677120534545
0,5,53,1,1,381.3079145602249
1,5,57,1,0,280.8036749834642
1,2,21,0,1,441.32273711364985
0,6,19,1,1,231.24912495480496
0,18,23,1,1,486.60590498669455
0,7,59,0,0,469.5452412029949
1,9,21,1,1,383.7211787533035
0,14,46,1,1,175.7371478792324
0,14,35,0,1,109.24411495696627
0,0,43,0,0,434.61655254193886
0,6,61,0,1,124.38602876208257
0,3,51,1,0,434.4173550488011
1,5,27,0,0,270.8442530205622
0,0,53,1,1,232.9505527136469
1,4,31,1,1,456.4358504754931
0,0,48,0,1,321.73294214312506
0,3,32,1,1,309.476303208373
1,1,25,0,1,301.4446750809789
0,9,31,1,1,217.02628220878913
0,4,40,1,1,403.53939658810725
0,9,57,0,1,163.75929980709785
0,0,38,0,0,472.5027320185738
1,5,33,0,1,452.29334227113236
0,12,62,0,1,201.86614655370417
0,14,35,0,0,378.2586964242487
0,3,64,0,1,307.95043750231616
0,12,41,1,1,201.94218589965556
0,14,43,0,1,494.83474159795105
0,7,42,0,1,61.35680563171889
0,4,62,1,1,163.690713779579
